objectid,census_tract,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
61,42101004202,111,1982,2024,617823.41,145107.98,13046.11,97849.91,873827.41,7872.32
62,42101005400,26,1978,2024,259105.77,47157.36,14891.96,23953.5,345108.59,13273.41
63,42101005500,186,1997,2024,763677.24,74276.33,23441.43,125120.79,986515.79,5303.85
64,42101005600,36,1997,2024,321519.72,63513.87,16406.37,42924.64,444364.6,12343.46
65,42101006000,247,1988,2024,1003041.76,165467.91,24544.86,196201,1389255.53,5624.52
66,42101006100,95,1997,2024,258808.22,34385.76,8086.76,54598.45,355879.19,3746.1
67,42101006200,177,1993,2024,501883.68,98916.6,17561.24,133872.44,752233.96,4249.91
68,42101006300,373,1987,2024,1179048.44,405558.78,42075.77,345837.08,1972520.07,5288.26
69,42101006400,270,1978,2024,813082.13,234861.77,29472.74,264037.98,1341535.74,4968.65
70,42101006500,507,1985,2024,1733744.74,714784.08,63662.3,575740.78,3088001.97,6090.73
71,42101006600,486,1983,2024,1378680.84,670991.29,55015.57,598689.56,2703377.26,5562.5
72,42101006700,480,1985,2024,1533887.7,348153.43,47692.38,416353.61,2346379.1,4888.29
73,42101007000,389,1982,2024,1145801.49,388104.06,42007.35,401632.02,1977544.92,5083.66
74,42101007101,245,1991,2024,737283.67,173773.84,24039.73,209349.29,1144446.53,4671.21
75,42101007102,423,1988,2024,1312671.57,418472.08,50337.69,411764.46,2193847.41,5186.4
76,42101007200,356,1984,2024,1307345.3,392433.99,47170.76,328058.39,2075008.44,5828.68
77,42101007300,254,1978,2024,1086854.83,228762.17,28336.21,223174.89,1567128.1,6169.8
78,42101007400,492,1978,2024,1419459.53,420188.31,46145.07,407904.5,2293697.41,4661.99
79,42101007700,71,1978,2024,199930.34,52532.26,4102.28,40383.13,296948.01,4182.37
80,42101007800,74,1989,2024,900382.01,64332.61,11334.66,91900.62,1067949.9,14431.76
81,42101007900,71,1992,2024,707123.9,57887.08,9942.63,75401.49,850355.1,11976.83
82,42101008000,230,1985,2024,1253343.58,129082.31,22006.11,202480.09,1606912.09,6986.57
83,42101008101,236,1990,2024,827730.91,199137.59,25992.91,206001.29,1258862.7,5334.16
84,42101008102,406,1985,2024,1485589.52,208083.4,27590.04,327010.33,2048273.29,5045.01
85,42101008200,462,1978,2024,1825104.49,434035.71,46091.44,392449.85,2697681.49,5839.14
86,42101008301,251,1984,2024,1072749.13,174181,21580.87,272916.96,1541427.96,6141.15
87,42101008302,389,1978,2024,1143953.25,270578.47,33998.21,300473.55,1749003.48,4496.15
88,42101008400,366,1986,2024,1273482.75,248792.38,32675.79,317527.78,1872916.86,5117.26
89,42101008500,546,1978,2024,2692060.51,642952.26,76639.8,529977.42,3941629.99,7219.1
90,42101008601,39,1997,2024,526313.11,32048.88,6348.39,51162.87,615873.25,15791.62
91,42101008602,93,1995,2024,749058.51,62658.46,10625.97,80253.17,902596.11,9705.33
92,42101008701,41,1997,2024,495851.64,21677.64,5804.7,40573.72,563907.7,13753.85
93,42101008702,39,2018,2024,257510.09,2392.89,284.54,33480.14,293667.66,7529.94
94,42101008801,1,2024,2024,7448.69,0,0,0,7448.69,7448.69
95,42101008802,19,2015,2024,133493.6,3569.74,1167.67,11564.27,149795.28,7883.96
96,42101009000,74,1992,2024,915795.15,131984.26,26578.77,103792.9,1178151.08,15920.96
97,42101009100,53,1995,2024,453286.45,58131.03,9749.34,53872.29,575039.11,10849.79
98,42101009200,109,1978,2024,574434.93,55947.33,10641.8,76342.3,717366.36,6581.34
99,42101009300,429,1978,2024,1438211.38,412509.43,50643.2,434356.14,2335720.15,5444.57
100,42101009400,304,1978,2024,781009.35,283283.39,30470.67,274695.44,1369458.85,4504.8
101,42101009500,371,1983,2024,922076.73,265692.41,30612.53,308157.58,1526539.25,4114.66
102,42101009600,444,1988,2024,1456384.23,344559.01,48264.43,397571.81,2246779.48,5060.31
103,42101009801,40,2003,2024,171678.24,14225.82,3479.72,30016.18,219399.96,5485
104,42101009802,97,1995,2024,362952.59,38008.72,3055.23,53687,457703.54,4718.59
105,42101010000,161,1997,2024,664106.43,74374.56,12789.48,100695.27,851965.74,5291.71
106,42101010100,465,1982,2024,2029921.5,518450.81,66920.56,500734.42,3116100.49,6701.29
107,42101010200,246,1978,2024,702822.36,366497.22,30103.62,275548.45,1374971.65,5589.32
108,42101010300,254,1992,2024,921390.63,265468.89,30166.35,271148.67,1488174.54,5858.95
109,42101010400,380,1986,2024,1182061.18,496471.07,45269.36,458234.22,2182035.83,5742.2
110,42101010500,262,1978,2024,716734.91,157070.02,23330.4,214906.41,1112041.74,4244.43
111,42101010600,192,1978,2024,1054804.58,272396.18,35259.45,141842.16,1504302.37,7834.91
112,42101010700,383,1978,2024,1028937.02,200078.58,28162.33,286294.82,1543472.75,4029.95
113,42101010800,370,1987,2024,1261899.94,287860.54,38891.87,328924.15,1917576.5,5182.64
114,42101010900,92,1978,2024,496931.71,52909.24,6856.79,65419.61,622117.35,6762.15
115,42101011000,405,1983,2024,1334988.55,275952.12,41152.57,369264.46,2021357.7,4991.01
116,42101011100,576,1978,2024,1936481.99,556217.64,64998.69,521807.06,3079505.38,5346.36
117,42101011200,489,1978,2024,1435345.13,463457.28,44737.75,429470.8,2373010.96,4852.78
118,42101011300,222,1991,2024,831770.42,160230.24,22279.44,200988.21,1215268.31,5474.18
119,42101011400,369,1987,2024,1925988.58,230990.21,40597.26,317686.27,2516230.05,6819.05
120,42101011500,147,1997,2024,459001.2,55066.02,9694.22,107505.26,631266.7,4294.33
121,42101011700,41,1986,2024,389432.42,135643.18,4469.17,41642.97,571187.74,13931.41
122,42101011800,304,1990,2024,1351746.86,279298.06,30617.8,258512.82,1920175.54,6316.37
123,42101011900,304,1993,2024,1380050.31,348917.71,37131.16,285571.22,2051670.4,6748.92
124,42101012000,42,1987,2024,585213.79,196753.19,19571.86,101391.39,902930.23,21498.34
125,42101012100,45,1980,2024,299464.97,33720.51,3168.89,30439.32,366793.69,8150.97
126,42101012203,3,2024,2024,0,15044.95,0,319.35,15364.3,5121.43
127,42101012204,80,2001,2024,355194.8,70916.21,7483.91,70447.89,504042.81,6300.54
128,42101012501,11,2019,2024,1183805.2,66573.45,14640.7,32420.86,1297440.21,117949.11
129,42101012502,26,2018,2024,260312.26,8481.06,3790.14,10640.72,283224.18,10893.24
130,42101013100,33,1980,2024,468179.58,25714.18,1463.07,24408.97,519765.8,15750.48
131,42101013200,99,1978,2024,700968.69,87067.42,8237.89,103605.18,899879.18,9089.69
132,42101013300,96,1978,2024,881568.74,93668.27,18368.34,97141.26,1090746.61,11361.94
133,42101013401,42,2010,2024,347091.92,14397.82,3299.67,36907.44,401696.85,9564.21
134,42101013402,39,1994,2024,383575.52,90180.46,9396.48,57613.24,540765.7,13865.79
135,42101013500,90,1985,2024,745470.82,77206.08,13745.18,90173.47,926595.55,10295.51
136,42101013601,41,2010,2024,250328.25,9871.06,2663.12,31602.44,294464.87,7182.07
137,42101013602,31,1992,2024,294312.78,16111.78,3509.42,32558.97,346492.95,11177.19
138,42101013701,109,1989,2024,303514.72,32004.3,3645.87,52031.2,391196.09,3588.95
139,42101013702,262,1978,2024,819629.53,95976.18,15158.11,175602.38,1106366.2,4222.77
140,42101013800,193,1978,2024,676716.44,130161.9,14251.12,151747.09,972876.55,5040.81
141,42101013900,89,1978,2024,473310.46,66142.32,9049.15,81045.36,629547.29,7073.57
142,42101014000,217,1978,2024,1556893.7,183176.95,33287.31,213939.97,1987297.93,9158.05
143,42101014100,91,1978,2024,998174.31,58906.68,9984.13,64658.04,1131723.16,12436.52
144,42101014201,97,1980,2024,427410.27,31001.34,4191.7,48245.46,510848.77,5266.48
145,42101014202,96,1997,2024,1742303.63,97017.81,17293.42,150902.34,2007517.2,20911.64
146,42101014300,82,1978,2024,543811.83,62678.88,13853.06,72980.89,693324.66,8455.18
147,42101014400,247,1978,2024,1676897.29,149766.87,29960.81,224720.12,2081345.09,8426.5
148,42101014500,76,1978,2024,249235.13,43198.25,4348.8,57034.92,357115.13,4698.88
149,42101014600,106,1993,2024,947137.8,81711.35,12676.09,92771.69,1134296.93,10700.91
150,42101014700,132,1978,2024,670151.75,139988.42,9951.55,106064.92,926156.64,7016.34
151,42101014800,99,1978,2024,448037.75,137434.99,12748.96,103242.54,701464.24,7085.5
152,42101014900,470,1978,2024,1331683.91,334071.87,37226.56,395667.35,2098939.1,4465.83
153,42101015101,223,1978,2024,553361.94,101721.84,12651.23,174511.42,842246.43,3776.89
154,42101015102,557,1978,2024,1206434.57,415147.56,38765.85,495450.82,2155799.28,3870.38
155,42101015200,513,1978,2024,1670498.49,470637.96,50186.71,555140.62,2746463.78,5353.73
156,42101015300,206,1979,2024,1129948.08,103875.59,25870.01,172259.62,1431953.3,6951.23
157,42101015600,253,1978,2024,1618762.65,243621.7,42381.68,325678.74,2230444.77,8815.99
158,42101015700,231,1979,2024,1164220.26,73399.59,20912.04,165091.39,1423623.28,6162.87
159,42101015800,206,1985,2024,1088353.65,90425.34,14958.81,142573.82,1336767.83,6489.16
160,42101016001,140,2000,2024,873162.15,44482.93,8673.41,100914.58,1027233.07,7337.38
161,42101016002,151,1998,2024,860935.94,96977.21,19336.88,137761.99,1115012.02,7384.19
162,42101016100,358,1978,2024,1729214.75,217776.7,35709.53,298513.42,2281214.4,6372.11
163,42101016200,376,1978,2024,905519.31,266651.4,25127.67,401448.89,1598747.27,4251.99
164,42101016300,448,1978,2024,948288.33,162721.3,23380.02,335239.17,1469628.82,3280.42
165,42101016400,513,1978,2024,935941.97,315421.69,33081.06,434190.21,1718634.93,3350.17
166,42101016500,462,1978,2024,1190328.55,442000.32,43242.09,500795.79,2176366.75,4710.75
167,42101016600,173,1978,2024,547483.76,110196.97,11288.86,156761.44,825731.03,4773.01
168,42101016701,549,1978,2024,1293590.25,740257.28,55257.09,654664.4,2743860.09,4997.92
169,42101016702,548,1978,2024,1468701.24,631683.69,51147.46,620158.57,2771690.96,5057.83
170,42101016800,737,1978,2024,1931574.49,1017361.27,72091.13,904014.75,3925041.64,5325.7
171,42101016901,855,1978,2024,2282978.56,1269254.59,88953.4,1059149.6,4700336.15,5497.47
172,42101016902,1057,1978,2024,2539237.76,1400160.98,90868.16,1152076.84,5183471.26,4903.95
173,42101017000,160,1984,2024,837939.11,142282.16,16648.42,155139.59,1152009.28,7200.06
174,42101017100,477,1978,2024,1873117.15,660391.48,57838.33,540778.56,3132128.28,6566.31
175,42101017201,493,1978,2024,1291262.69,783218.47,53860.54,533104.91,2661500.83,5398.58
176,42101017202,641,1978,2024,1574966.19,879076.83,64147.37,664885.08,3183075.47,4965.8
177,42101017300,476,1981,2024,1579196.14,607264.78,56771.55,465179.5,2708411.97,5689.94
178,42101017400,490,1978,2024,1419024.54,663961.57,59041.57,637236.82,2779264.5,5671.97
179,42101017500,918,1978,2024,1712905.2,746805.5,69672.05,863462.47,3393757.89,3696.9
180,42101017601,810,1978,2024,1317807.75,471220.65,54579.87,652004.62,2495612.89,3081
181,42101017602,427,1980,2024,934884.28,255690.65,29389.07,300859.34,1520823.34,3561.65
182,42101017701,357,1980,2024,729012.23,266600.7,25649.19,288370.29,1309632.41,3668.44
183,42101017702,628,1978,2024,1365814.01,508497.31,46233,528874.62,2449418.94,3900.35
184,42101017800,688,1978,2024,1686096.04,416267.96,47084.57,533124.55,2682573.12,3899.09
185,42101017900,401,1978,2024,1376449.83,210661.72,27704.93,330747.15,1945563.63,4851.78
186,42101018001,111,1985,2024,446967.73,96652.28,10578.05,87563.18,641761.24,5781.63
