GEOID,TRACT,total_pop,poverty_pop,poverty_below,bachelors,foreign_born,median_age,pop_black,pop_white,pop_hispanic,pop_asian,total_hh,median_income,limited_english,english_only,median_home_value,housing_units,units_mortgage,occupied_units,vacant_units,renter_hh,owner_hh,family_hh,vacant_status,for_rent,for_sale,mortgage_under20k_over30pct,mortgage_20to35k_over30pct,mortgage_35to50k_over30pct,mortgage_50to75k_over30pct,mortgage_75kplus_over30pct,owner_costs_total,owner_under20k,owner_under20k_under20pct,owner_under20k_20to29pct,owner_under20k_over30pct,owner_20to35k,owner_20to35k_under20pct,owner_20to35k_20to29pct,owner_20to35k_over30pct,owner_35to50k,owner_35to50k_under20pct,owner_35to50k_20to29pct,owner_35to50k_over30pct,owner_50to75k,owner_50to75k_under20pct,owner_50to75k_20to29pct,owner_50to75k_over30pct,owner_75kplus,owner_75kplus_under20pct,owner_75kplus_20to29pct,owner_75kplus_over30pct,owner_zero_neg_income,owner_total,owner_15to24,owner_25to34,owner_35to44,owner_45to54,owner_55to59,owner_60to64,owner_65to74,owner_75to84,owner_85plus,area_sqmi,pop_density,geometry
42101021900,219,1480,1480,84,249,79,41.8,104,1256,53,19,679,71250,679,621,274200,712,422,679,33,78,601,338,33,0,0,38,39,44,19,6,601,34,0,0,34,27,0,6,21,123,11,20,92,101,14,54,33,310,247,51,12,6,601,0,58,155,65,57,71,126,58,11,0.5477319943223078,2702.0513961963443,"list(list(c(-75.254629, -75.25412, -75.238182, -75.236386, -75.236042, -75.236301, -75.235419, -75.243483, -75.244871, -75.245728, -75.251298, -75.254678, -75.254629, 40.047592, 40.048324, 40.059771, 40.057398, 40.056711, 40.051037, 40.048775, 40.045379, 40.045819, 40.049257, 40.043505, 40.045924, 40.047592)))"
42101010500,105,4251,3647,1063,516,373,51.1,3772,216,200,130,1562,37708,1562,1304,155200,1775,197,1562,213,983,579,854,213,38,0,116,30,67,0,0,579,39,10,0,29,113,31,82,0,92,43,49,0,144,66,32,46,191,191,0,0,0,579,49,7,50,113,58,141,71,74,16,0.25350019132625223,16769.218112853436,"list(list(c(-75.217437, -75.216331, -75.212211, -75.212148, -75.211516, -75.211334, -75.211231, -75.21056, -75.21306, -75.214018, -75.217002, -75.216181, -75.216516, -75.2168, -75.216996, -75.217172, -75.217437, 39.972434, 39.97279, 39.973242, 39.973012, 39.969654, 39.968726, 39.967879, 39.962571, 39.962577, 39.958643, 39.959015, 39.962546, 39.965214, 39.967459, 39.968969, 39.970351, 39.972434)))"
42101025800,258,1845,1845,293,182,39,45.7,1461,82,30,1,856,48100,856,592,290500,918,363,856,62,129,727,406,62,0,0,66,31,35,0,7,727,28,0,0,28,280,6,240,34,58,25,0,33,86,36,19,31,268,177,54,37,7,727,0,22,37,114,27,131,67,86,243,0.22807691892754334,8089.3762011320805,"list(list(c(-75.188461, -75.186096, -75.182053, -75.180238, -75.176841, -75.179448, -75.180482, -75.181751, -75.188052, -75.188461, 40.07275, 40.075123, 40.079102, 40.078084, 40.07598, 40.071261, 40.070191, 40.068902, 40.072503, 40.07275)))"
42101016002,160.02,4404,4390,645,1265,177,34.3,148,3789,468,112,2190,89100,2190,2016,300300,2358,1182,2190,168,748,1442,1020,168,0,0,35,74,52,0,0,1442,124,0,20,104,350,25,0,325,46,46,0,0,44,0,0,44,878,703,96,79,0,1442,21,490,374,125,156,106,125,45,0,0.15137867722070408,29092.60459172294,"list(list(c(-75.130448, -75.127623, -75.125062, -75.122679, -75.120252, -75.118522, -75.120973, -75.123266, -75.122449, -75.124193, -75.123334, -75.126136, -75.128628, -75.130448, 39.978589, 39.98143, 39.982373, 39.983488, 39.984755, 39.982825, 39.981546, 39.980344, 39.979411, 39.9785, 39.977514, 39.976082, 39.977533, 39.978589)))"
42101016001,160.01,2585,2585,331,680,0,36.1,265,2300,46,0,1203,93890,1203,1105,324200,1267,620,1203,64,310,893,575,64,0,32,69,24,0,44,0,893,57,0,0,57,86,26,60,0,95,15,11,69,50,32,8,10,605,458,123,24,0,893,0,127,330,93,24,123,158,38,0,0.12760918199563673,20257.163000138873,"list(list(c(-75.126136, -75.123334, -75.124193, -75.122449, -75.123266, -75.120973, -75.118522, -75.117355, -75.117697, -75.118611, -75.119763, -75.119959, -75.120992, -75.122592, -75.123391, -75.125201, -75.126136, 39.976082, 39.977514, 39.9785, 39.979411, 39.980344, 39.981546, 39.982825, 39.981481, 39.980904, 39.978879, 39.976369, 39.975915, 39.97547, 39.97388, 39.974403, 39.975558, 39.976082)))"
42101000403,4.03,1047,1047,69,408,238,45.5,29,878,68,90,716,181066,716,514,933000,801,292,716,85,283,433,225,85,27,41,29,68,16,6,0,433,13,0,0,13,19,0,0,19,0,0,0,0,35,30,0,5,366,127,150,89,0,433,0,12,128,98,105,33,57,0,0,0.05451628435040618,19205.270727373027,"list(list(c(-75.168444, -75.167989, -75.166365, -75.163093, -75.163323, -75.165063, -75.165299, -75.163996, -75.164011, -75.168767, -75.168444, 39.952975, 39.955008, 39.954816, 39.9544, 39.953355, 39.953608, 39.952284, 39.951625, 39.950876, 39.951468, 39.952975)))"
42101980904,9809.04,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6682777012471509,0,"list(list(c(-75.211253, -75.207433, -75.204223, -75.199649, -75.194439, -75.193097, -75.193615, -75.195045, -75.2017, -75.203396, -75.208526, -75.21079, -75.212428, -75.211253, 39.928519, 39.933513, 39.932852, 39.931912, 39.92661, 39.924969, 39.922341, 39.921011, 39.919834, 39.921007, 39.921033, 39.922095, 39.92523, 39.928519)))"
42101000600,6,1536,1497,147,505,191,29.6,192,989,109,325,1028,97794,1028,868,NA,1396,0,1028,368,1019,9,157,368,304,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,8,0,0,0,9,0,0,0,1,0,0,8,0,0,0.06516932403869675,23569.37136693242,"list(list(c(-75.164338, -75.164011, -75.163857, -75.160209, -75.158634, -75.157062, -75.152337, -75.153174, -75.156646, -75.157392, -75.158965, -75.159751, -75.162114, -75.164192, -75.164338, 39.949346, 39.950876, 39.950856, 39.950395, 39.950203, 39.950006, 39.949421, 39.947962, 39.948394, 39.94849, 39.948681, 39.948783, 39.94908, 39.949334, 39.949346)))"
42101001900,19,3643,3643,511,1289,416,30.2,856,2083,166,498,1744,138500,1744,1371,512300,1878,680,1744,134,830,914,733,134,69,0,90,23,27,0,0,914,40,0,22,18,60,0,24,36,19,0,0,19,9,9,0,0,786,607,153,26,0,914,18,453,239,87,30,39,39,9,0,0.12676362739083277,28738.52756491451,"list(list(c(-75.177761, -75.177598, -75.174104, -75.170955, -75.166204, -75.16636, -75.166816, -75.170025, -75.171602, -75.173173, -75.17631, -75.178251, -75.177761, 39.941461, 39.942228, 39.941793, 39.941404, 39.940813, 39.94003, 39.937869, 39.938263, 39.938447, 39.938641, 39.939021, 39.939268, 39.941461)))"
42101002701,27.01,3821,3821,545,1175,510,35.9,329,2489,596,421,1926,91078,1926,1549,375300,2056,991,1926,130,741,1185,717,130,21,32,97,61,46,0,0,1185,105,0,11,94,52,24,12,16,48,16,21,11,103,43,26,34,877,505,246,126,0,1185,0,231,540,96,102,113,52,38,13,0.08683383091783635,44003.586616090855,"list(list(c(-75.155274, -75.154454, -75.152893, -75.151309, -75.152131, -75.152938, -75.154526, -75.156095, -75.155274, 39.928763, 39.93242, 39.932208, 39.932007, 39.928336, 39.924679, 39.924895, 39.925103, 39.928763)))"
42101003200,32,4196,4115,513,663,297,32.6,2388,998,428,229,1741,58920,1741,1441,198100,2136,487,1741,395,667,1074,909,395,21,30,38,95,194,11,21,1074,110,38,20,52,203,69,36,98,111,89,16,6,152,125,8,19,477,356,96,25,21,1074,0,292,80,158,168,133,175,68,0,0.18962264181876132,22128.159167882906,"list(list(c(-75.189148, -75.188885, -75.183916, -75.180621, -75.181162, -75.181419, -75.181589, -75.181944, -75.183601, -75.18524, -75.188636, -75.190222, -75.189148, 39.935671, 39.936887, 39.93624, 39.935816, 39.933385, 39.932161, 39.931366, 39.929729, 39.929928, 39.930146, 39.930583, 39.930779, 39.935671)))"
42101003902,39.02,5419,5419,607,1132,274,43.1,0,4906,131,153,2384,78582,2384,2091,278500,2619,1021,2384,235,627,1757,1617,235,80,0,50,103,41,0,0,1757,165,0,0,165,152,36,54,62,120,64,0,56,155,101,12,42,1165,834,253,78,0,1757,0,257,334,310,117,203,266,208,62,0.1737070252257757,31196.20517913225,"list(list(c(-75.17763, -75.177732, -75.177438, -75.177082, -75.175614, -75.174033, -75.173748, -75.170581, -75.170854, -75.171122, -75.171423, -75.172253, -75.177806, -75.17763, 39.914983, 39.917575, 39.91897, 39.920207, 39.920013, 39.919809, 39.92106, 39.920653, 39.91941, 39.918152, 39.916757, 39.912388, 39.91309, 39.914983)))"
42101004002,40.02,5272,5272,542,634,1006,40.3,287,4024,129,546,2327,82834,2327,1654,264500,2466,1182,2327,139,586,1741,1081,139,51,88,64,115,58,0,0,1741,86,0,21,65,274,154,21,99,44,0,18,26,333,92,22,219,1004,614,166,224,0,1741,0,45,354,192,70,295,666,82,37,0.13302934457129856,39630.35386658177,"list(list(c(-75.171122, -75.170854, -75.170581, -75.170309, -75.166563, -75.163412, -75.163956, -75.16453, -75.166914, -75.167681, -75.170208, -75.171423, -75.171122, 39.918152, 39.91941, 39.920653, 39.921885, 39.921418, 39.921015, 39.918518, 39.915875, 39.916189, 39.916283, 39.916631, 39.916757, 39.918152)))"
42101037200,372,3918,3918,729,413,902,44.5,191,2062,243,1038,1689,66431,1689,1216,282000,1831,739,1689,142,419,1270,1166,142,23,56,54,100,68,9,10,1270,129,0,8,121,216,17,142,57,143,45,21,77,148,94,46,8,624,521,78,25,10,1270,20,160,137,187,93,143,343,88,99,0.3979467275800567,9845.538933881038,"list(list(c(-75.172253, -75.171423, -75.170208, -75.167681, -75.166914, -75.16453, -75.161956, -75.159844, -75.156708, -75.148124, -75.149181, -75.149541, -75.160789, -75.165482, -75.171928, -75.172253, 39.912388, 39.916757, 39.916631, 39.916283, 39.916189, 39.915875, 39.915546, 39.915286, 39.914869, 39.913772, 39.908642, 39.908703, 39.910942, 39.911531, 39.912348, 39.912388)))"
42101006400,64,4717,4658,1730,322,1523,30.4,3499,250,368,96,1646,38032,1646,1013,99300,1755,881,1646,109,615,1031,1156,109,38,16,5,289,48,0,12,1031,190,0,0,190,223,0,0,223,91,48,0,43,109,0,85,24,306,291,15,0,112,1031,0,43,152,336,157,231,56,17,39,0.24804221737701393,19016.924013505148,"list(list(c(-75.247759, -75.244336, -75.243643, -75.242903, -75.235478, -75.236986, -75.235594, -75.236833, -75.23816, -75.239671, -75.246856, -75.247341, -75.247484, -75.247459, -75.247759, 39.921708, 39.92625, 39.930897, 39.930708, 39.928877, 39.927821, 39.92664, 39.925765, 39.924839, 39.923779, 39.918759, 39.918541, 39.919242, 39.921343, 39.921708)))"
42101008000,80,3867,3844,893,865,263,32.3,2743,767,57,27,1787,63906,1787,1674,264800,2067,589,1787,280,937,850,748,280,54,0,122,61,62,6,0,850,68,9,8,51,134,18,14,102,50,11,32,7,144,37,28,79,442,323,104,15,12,850,0,119,211,59,106,53,163,69,70,0.16634558904788507,23246.784132561676,"list(list(c(-75.230959, -75.230793, -75.230635, -75.230323, -75.229999, -75.226224, -75.222279, -75.222589, -75.22275, -75.222914, -75.223315, -75.224946, -75.227419, -75.229449, -75.231289, -75.230959, 39.949438, 39.950172, 39.950922, 39.952475, 39.953996, 39.953528, 39.95304, 39.951519, 39.950754, 39.949975, 39.947925, 39.947744, 39.94777, 39.947779, 39.94782, 39.949438)))"
