GEOID,geometry
42101028600,"list(list(c(-75.133167, -75.132174, -75.13129, -75.128428, -75.125196, -75.124167, -75.1236, -75.121964, -75.121711, -75.122727, -75.12342, -75.125387, -75.128126, -75.13061, -75.133207, -75.133167, 40.024299, 40.028772, 40.032818, 40.032472, 40.032305, 40.032575, 40.032771, 40.03373, 40.03347, 40.029151, 40.02593, 40.025647, 40.025222, 40.024699, 40.024144, 40.024299)))"
42101030501,"list(list(c(-75.103955, -75.100374, -75.101105, -75.098017, -75.094175, -75.096603, -75.100728, -75.101572, -75.103163, -75.104633, -75.103955, 40.040822, 40.044605, 40.045038, 40.047096, 40.045026, 40.042487, 40.03902, 40.038293, 40.039196, 40.040073, 40.040822)))"
42101033500,"list(list(c(-75.073256, -75.069224, -75.068074, -75.062485, -75.060891, -75.057125, -75.060654, -75.058284, -75.059937, -75.061374, -75.066045, -75.068503, -75.069721, -75.073256, 40.05533, 40.059583, 40.060824, 40.057721, 40.056823, 40.054722, 40.050999, 40.049688, 40.047751, 40.048585, 40.051181, 40.05259, 40.053284, 40.05533)))"
42101034000,"list(list(c(-75.07966, -75.0759, -75.071007, -75.067912, -75.067333, -75.068958, -75.068862, -75.070412, -75.067838, -75.069297, -75.074845, -75.077177, -75.080965, -75.07966, 40.069203, 40.072884, 40.077682, 40.075976, 40.075504, 40.072358, 40.071845, 40.07022, 40.068959, 40.068345, 40.066538, 40.065785, 40.067974, 40.069203)))"
42101034900,"list(list(c(-75.022122, -75.020499, -75.018502, -75.016377, -75.012273, -75.004795, -74.999877, -74.99627, -75.006278, -75.010099, -75.011038, -75.012541, -75.016212, -75.01783, -75.021806, -75.022122, 40.038058, 40.043542, 40.044081, 40.045672, 40.048885, 40.054747, 40.050402, 40.047202, 40.041155, 40.039038, 40.038599, 40.038027, 40.039914, 40.039076, 40.037024, 40.038058)))"
42101035900,"list(list(c(-75.028883, -75.026305, -75.025585, -75.024306, -75.023041, -75.018457, -75.018005, -75.015384, -75.010453, -75.008712, -75.006991, -75.005391, -75.018145, -75.023927, -75.027635, -75.028883, 40.102543, 40.108324, 40.109312, 40.111181, 40.112998, 40.118119, 40.118909, 40.123599, 40.120681, 40.119612, 40.118599, 40.114802, 40.105095, 40.100702, 40.101765, 40.102543)))"
42101000200,"list(list(c(-75.162688, -75.162339, -75.157898, -75.155538, -75.153846, -75.152893, -75.150881, -75.151102, -75.151323, -75.151539, -75.154717, -75.157864, -75.159435, -75.163093, -75.162688, 39.956227, 39.957825, 39.957247, 39.956923, 39.956784, 39.956884, 39.957421, 39.957139, 39.956527, 39.952948, 39.953348, 39.953748, 39.953953, 39.9544, 39.956227)))"
42101021900,"list(list(c(-75.254629, -75.25412, -75.238182, -75.236386, -75.236042, -75.236301, -75.235419, -75.243483, -75.244871, -75.245728, -75.251298, -75.254678, -75.254629, 40.047592, 40.048324, 40.059771, 40.057398, 40.056711, 40.051037, 40.048775, 40.045379, 40.045819, 40.049257, 40.043505, 40.045924, 40.047592)))"
42101010500,"list(list(c(-75.217437, -75.216331, -75.212211, -75.212148, -75.211516, -75.211334, -75.211231, -75.21056, -75.21306, -75.214018, -75.217002, -75.216181, -75.216516, -75.2168, -75.216996, -75.217172, -75.217437, 39.972434, 39.97279, 39.973242, 39.973012, 39.969654, 39.968726, 39.967879, 39.962571, 39.962577, 39.958643, 39.959015, 39.962546, 39.965214, 39.967459, 39.968969, 39.970351, 39.972434)))"
42101025800,"list(list(c(-75.188461, -75.186096, -75.182053, -75.180238, -75.176841, -75.179448, -75.180482, -75.181751, -75.188052, -75.188461, 40.07275, 40.075123, 40.079102, 40.078084, 40.07598, 40.071261, 40.070191, 40.068902, 40.072503, 40.07275)))"
